mesh_ui,canonical,synonym
D016047,Zalcitabine,nsc-606170
D016047,Zalcitabine,hivid
D016048,Dideoxyadenosine,dideoxyadenosine
D016049,Didanosine,nsc-612049
D016049,Didanosine,videx
D016049,Didanosine,didanosine
D016052,Protozoan Vaccines,protozoan vaccines
D016053,"RNA, Protozoan","rna, protozoan"
D016054,"DNA, Protozoan","dna, protozoan"
D016056,Immunodominant Epitopes,"antigens, immunodominant"
D016056,Immunodominant Epitopes,immunodominant epitopes
D016060,Sorption Detoxification,sorption detoxification
D016061,Enterosorption,enterosorption
D016085,Bronchoconstrictor Agents,bronchoconstrictor effect
D016085,Bronchoconstrictor Agents,bronchoconstrictor agents
D016159,Tumor Suppressor Protein p53,tumor suppressor protein p53
D016160,Retinoblastoma Protein,retinoblastoma protein
D016160,Retinoblastoma Protein,p105-rb protein
D016166,Free Radical Scavengers,free radical scavengers
D016167,Integrin alphaXbeta2,integrin alphaxbeta2
D016169,Lymphocyte Function-Associated Antigen-1,lymphocyte function-associated antigen-1
D016173,Macrophage Colony-Stimulating Factor,macrophage colony-stimulating factor
D016177,Macrophage-1 Antigen,macrophage-1 antigen
D016178,Granulocyte-Macrophage Colony-Stimulating Factor,granulocyte-macrophage colony-stimulating factor
D016179,Granulocyte Colony-Stimulating Factor,granulocyte colony-stimulating factor
D016184,"Receptors, Colony-Stimulating Factor","receptors, colony-stimulating factor"
D016185,"Receptors, Interleukin-3","receptors, interleukin-3"
D016186,"Receptor, Macrophage Colony-Stimulating Factor","receptor, macrophage colony-stimulating factor"
D016187,"Receptors, Granulocyte-Macrophage Colony-Stimulating Factor","receptors, granulocyte-macrophage colony-stimulating factor"
D016188,"Receptors, Granulocyte Colony-Stimulating Factor","receptors, granulocyte colony-stimulating factor"
D016189,Dystrophin,dystrophin
D016190,Carboplatin,nsc-241240
D016190,Carboplatin,platinwas
D016190,Carboplatin,carboplat
D016190,Carboplatin,carbotec
D016190,Carboplatin,ercar
D016190,Carboplatin,jm-8
D016190,Carboplatin,blastocarb
D016190,Carboplatin,ribocarbo
D016190,Carboplatin,carbosin
D016190,Carboplatin,neocarbo
D016190,Carboplatin,paraplatin
D016190,Carboplatin,carboplatin
D016190,Carboplatin,nealorin
D016194,"Receptors, N-Methyl-D-Aspartate","receptors, n-methyl-d-aspartate"
D016200,Maturation-Promoting Factor,maturation-promoting factor
D016201,"Receptors, Lymphocyte Homing","receptors, lymphocyte homing"
D016201,"Receptors, Lymphocyte Homing",hermes antigen family
D016201,"Receptors, Lymphocyte Homing","homing receptors, t-cell"
D016202,N-Methylaspartate,n-methylaspartate
D016203,CDC2 Protein Kinase,cdc2 protein kinase
D016203,CDC2 Protein Kinase,p34cdc2 protein
D016207,Cytokines,cytokines
D016209,Interleukin-8,interleukin-8
D016210,Methacholine Chloride,methacholine chloride
D016210,Methacholine Chloride,methacholine
D016210,Methacholine Chloride,acetyl-beta-methylcholine
D016210,Methacholine Chloride,provocholine
D016210,Methacholine Chloride,mecholyl
D016210,Methacholine Chloride,provokit
D016211,Transforming Growth Factor alpha,transforming growth factor alpha
D016212,Transforming Growth Factor beta,transforming growth factor beta
D016213,Cyclins,cyclins
D016215,Macrophage-Activating Factors,macrophage-activating factors
D016219,"Immunotherapy, Adoptive","immunotherapy, adoptive"
D016219,"Immunotherapy, Adoptive",chimeric antigen receptor therapy
D016220,Fibroblast Growth Factor 1,fibroblast growth factor 1
D016222,Fibroblast Growth Factor 2,fibroblast growth factor 2
D016226,"Phosphorus, Dietary","phosphorus, dietary"
D016227,Benzoquinones,benzoquinones
D016227,Benzoquinones,"1,4-benzoquinones"
D016227,Benzoquinones,"1,2-benzoquinones"
D016228,Endothelial Growth Factors,beta-endothelial growth factor
D016228,Endothelial Growth Factors,alpha-endothelial growth factor
D016228,Endothelial Growth Factors,endothelial growth factors
D016229,Amyloid beta-Peptides,amyloid beta-peptides
D016232,Endothelins,endothelins
D016233,"Immunotherapy, Active",immune rna manipulation
D016233,"Immunotherapy, Active",vaccine therapy
D016233,"Immunotherapy, Active","immunotherapy, active"
D016238,Cytapheresis,cytapheresis
D016244,Guanosine 5'-O-(3-Thiotriphosphate),guanosine 5'-o-(3-thiotriphosphate)
D016255,Anistreplase,brl-26921
D016255,Anistreplase,anistreplase
D016255,Anistreplase,iminase
D016255,Anistreplase,eminase
D016256,Lewis X Antigen,lewis x antigen
D016256,Lewis X Antigen,lewis x related antigens
D016257,Fura-2,fura-2
D016264,Dextran Sulfate,dextran sulfate
D016264,Dextran Sulfate,dextran sulfate sodium
D016271,Proto-Oncogene Proteins c-myc,l-myc proteins
D016271,Proto-Oncogene Proteins c-myc,n-myc proteins
D016271,Proto-Oncogene Proteins c-myc,proto-oncogene proteins c-myc
D016274,Oncogene Protein p55(v-myc),oncogene protein p55(v-myc)
D016281,Oncogene Protein gp140(v-fms),fms oncogene product gp120
D016281,Oncogene Protein gp140(v-fms),oncogene protein gp140(v-fms)
D016281,Oncogene Protein gp140(v-fms),gp120(v-fms)
D016281,Oncogene Protein gp140(v-fms),fms oncogene protein gp120
D016282,Aspartic Acid Endopeptidases,aspartic acid endopeptidases
D016283,Proto-Oncogene Proteins p21(ras),proto-oncogene protein p21(c-ki-ras)
D016283,Proto-Oncogene Proteins p21(ras),proto-oncogene protein p21(c-ha-ras)
D016283,Proto-Oncogene Proteins p21(ras),proto-oncogene proteins p21(ras)
D016283,Proto-Oncogene Proteins p21(ras),proto-oncogene protein p21(c-n-ras)
D016284,Technetium Tc 99m Pentetate,technetium pentetic acid
D016284,Technetium Tc 99m Pentetate,technetium tc 99m pentetate
D016285,Iloprost,iloprost
D016285,Iloprost,aurlumyn
D016285,Iloprost,zk-36374
D016285,Iloprost,ventavis
D016291,Dizocilpine Maleate,dizocilpine maleate
D016291,Dizocilpine Maleate,dizocilpine
D016291,Dizocilpine Maleate,mk-801
D016293,Moricizine,moricizine hydrochloride
D016293,Moricizine,en-313
D016293,Moricizine,moricizine
D016293,Moricizine,ethmozine
D016298,Hematopoietic Cell Growth Factors,hematopoietic cell growth factors
D016298,Hematopoietic Cell Growth Factors,hematopoietic stem cell stimulators
D016298,Hematopoietic Cell Growth Factors,hematopoietic stem cell-activating factors
D016305,Thymopentin,thymopentin
D016305,Thymopentin,timunox
D016308,"Enkephalin, Leucine-2-Alanine",bw-180c
D016308,"Enkephalin, Leucine-2-Alanine","enkephalin, leucine-2-alanine"
D016314,Ethylketocyclazocine,ethylketocyclazocine
D016314,Ethylketocyclazocine,win-35197-2
D016314,Ethylketocyclazocine,ethylketocyclazocine methanesulfonate
D016315,Proto-Oncogene Proteins c-abl,proto-oncogene proteins c-abl
D016316,Guanfacine,lon798
D016316,Guanfacine,guanfacine
D016316,Guanfacine,tenex
D016316,Guanfacine,guanfacine hydrochloride
D016316,Guanfacine,bs-100-141
D016316,Guanfacine,estulic
D016318,Quisqualic Acid,quisqualate
D016318,Quisqualic Acid,quisqualic acid
D016326,Extracellular Matrix Proteins,extracellular matrix proteins
D016328,NF-kappa B,nf-kappa b
D016328,NF-kappa B,nf-kappa b complex
D016328,NF-kappa B,ig-ebp-1
D016329,Sp1 Transcription Factor,sp1 transcription factor
D016331,"Parenteral Nutrition, Home",home parenteral feeding
D016331,"Parenteral Nutrition, Home","parenteral nutrition, home"
D016332,Fetal Tissue Transplantation,fetal tissue donation
D016332,Fetal Tissue Transplantation,fetal tissue transplantation
D016333,HIV Protease,hiv protease
D016336,"Gene Products, vpr","gene products, vpr"
D016337,"RNA, Catalytic","rna, catalytic"
D016342,"Angioplasty, Laser","angioplasty, laser"
D016346,"Gene Products, vif","gene products, vif"
D016356,"Gene Products, tax","gene products, tax"
D016370,"Gene Products, rex","gene products, rex"
D016371,Cranial Irradiation,cranial irradiation
D016372,"RNA, Antisense","rna, antisense"
D016373,"DNA, Antisense","dna, antisense"
D016374,Oncogene Proteins v-abl,oncogene proteins v-abl
D016375,Antisense Elements (Genetics),antisense probes
D016375,Antisense Elements (Genetics),antisense elements (genetics)
D016376,"Oligonucleotides, Antisense","oligonucleotides, antisense"
D016378,Tissue Transplantation,tissue transplantation
D016380,Brain Tissue Transplantation,brain tissue transplantation
D016381,Islets of Langerhans Transplantation,islets of langerhans transplantation
D016392,Proto-Oncogene Proteins pp60(c-src),proto-oncogene proteins pp60(c-src)
D016414,Resuscitation Orders,resuscitation policies
D016414,Resuscitation Orders,withholding resuscitation
D016414,Resuscitation Orders,resuscitation decisions
D016414,Resuscitation Orders,do-not-resuscitate orders
D016414,Resuscitation Orders,resuscitation orders
D016461,"Chemoembolization, Therapeutic","chemoembolization, therapeutic"
D016462,Mammaplasty,mammaplasty
D016465,Bone Marrow Purging,bone marrow purging
D016465,Bone Marrow Purging,hematopoietic stem cell purging
D016488,"Medicine, African Traditional","medicine, african"
D016488,"Medicine, African Traditional","medicine, african traditional"
D016499,Radioimmunotherapy,radioimmunotherapy
D016500,Color Therapy,color therapy
D016503,Drug Delivery Systems,drug delivery systems
D016547,Kinesins,kinesin light-chain proteins
D016547,Kinesins,kinesins
D016547,Kinesins,kinesin heavy-chain protein
D016558,"Hemostasis, Endoscopic","hemostasis, endoscopic"
D016559,Tacrolimus,fk-506
D016559,Tacrolimus,anhydrous tacrolimus
D016559,Tacrolimus,tacrolimus
D016559,Tacrolimus,fr-900506
D016559,Tacrolimus,prograf
D016562,"Parenteral Nutrition, Home Total","parenteral nutrition, home total"
D016564,Amyloid beta-Protein Precursor,amyloid beta-protein precursor
D016566,Organoselenium Compounds,organoselenium compounds
D016567,Nizatidine,axid
D016567,Nizatidine,ly-139037
D016567,Nizatidine,nizatidine
D016568,"Drugs, Generic","drugs, generic"
D016572,Cyclosporine,csa-neoral
D016572,Cyclosporine,sandimmun neoral
D016572,Cyclosporine,ol 27-400
D016572,Cyclosporine,sandimmune
D016572,Cyclosporine,cyclosporine
D016572,Cyclosporine,neoral
D016573,Agrochemicals,agrochemicals
D016576,Fleroxacin,fleroxacin
D016576,Fleroxacin,quinodis
D016576,Fleroxacin,am-833
D016576,Fleroxacin,ro 23-6240
D016578,Crack Cocaine,crack cocaine
D016587,Antimutagenic Agents,antimutagenic effect
D016587,Antimutagenic Agents,antimutagenic agents
D016588,Anticarcinogenic Agents,anticarcinogenic effect
D016588,Anticarcinogenic Agents,anticarcinogenic agents
D016589,Astemizole,laridal
D016589,Astemizole,astemizole
D016589,Astemizole,esmacen
D016589,Astemizole,romadin
D016589,Astemizole,astemina
D016589,Astemizole,urdrim
D016589,Astemizole,alermizol
D016589,Astemizole,astemizol ratiopharm
D016589,Astemizole,astemizol alonga
D016589,Astemizole,r-43-512
D016589,Astemizole,hubermizol
D016589,Astemizole,simprox
D016589,Astemizole,fustermizol
D016589,Astemizole,emdar
D016589,Astemizole,rifedot
D016589,Astemizole,hismanal
D016589,Astemizole,astesen
D016589,Astemizole,paralergin
D016589,Astemizole,retolen
D016589,Astemizole,rimbol
D016589,Astemizole,histaminos
D016590,Aphidicolin,nsc-351140
D016590,Aphidicolin,nsc-234714
D016590,Aphidicolin,aphidicolin
D016590,Aphidicolin,ici-69653
D016590,Aphidicolin,"aphidicolin, (3-s-(3alpha,4beta,4abeta,6aalpha,8alpha,9alpha,11aalpha,11balpha))-isomer"
D016593,Terfenadine,terfenadin stada
D016593,Terfenadine,terfenadine
D016593,Terfenadine,seldane
D016593,Terfenadine,balkis saft spezial
D016593,Terfenadine,cyater
D016593,Terfenadine,hisfedin
D016593,Terfenadine,ternadin
D016593,Terfenadine,rmi-9918
D016593,Terfenadine,terfedura
D016593,Terfenadine,rapidal
D016593,Terfenadine,terfemundin
D016593,Terfenadine,terfenadin heumann
D016593,Terfenadine,terfenadin-ratiopharm
D016593,Terfenadine,terfenadin al
D016593,Terfenadine,terfenadin von ct
D016595,Misoprostol,cytotec
D016595,Misoprostol,misoprostol
D016595,Misoprostol,"misoprostol, (11beta,13e)-(+-)-isomer"
D016595,Misoprostol,"misoprostol, (11alpha,13e)-isomer"
D016595,Misoprostol,novo-misoprostol
D016595,Misoprostol,"misoprostol, (11alpha.13e,16s)-isomer"
D016595,Misoprostol,"misoprostol, (11beta,13e,16s)-isomer"
D016595,Misoprostol,"misoprostol, (11beta,13e,16r)-isomer"
D016595,Misoprostol,sc-30249
D016595,Misoprostol,"misoprostol, (11alpha,13e,16r)-isomer"
D016595,Misoprostol,glefos
D016595,Misoprostol,apo-misoprostol
D016595,Misoprostol,sc-29333
D016595,Misoprostol,"misoprostol, (11alpha,13z)-(+-)-isomer"
D016596,Vinculin,alpha-vinculin
D016596,Vinculin,isovinculin
D016596,Vinculin,vinculin
D016596,Vinculin,beta-vinculin
D016597,Trimetrexate,trimetrexate
D016597,Trimetrexate,"trimetrexate monohydrate, monoacetate"
D016597,Trimetrexate,ci-898
D016597,Trimetrexate,nsc-328564
D016597,Trimetrexate,nsc-249008
D016597,Trimetrexate,trimetrexate hydrate
D016597,Trimetrexate,jb-11
D016601,RNA-Binding Proteins,double-stranded rna-binding proteins
D016601,RNA-Binding Proteins,rna-binding proteins
D016604,Aflatoxin B1,"aflatoxin b1 dihydrochloride, (6ar-cis)-isomer"
D016604,Aflatoxin B1,aflatoxin b1
D016604,Aflatoxin B1,nsc-529592
D016604,Aflatoxin B1,"aflatoxin b1, cis(+,-)-isomer"
D016604,Aflatoxin B1,hsdb-3453
D016604,Aflatoxin B1,"aflatoxin b1, (6ar-cis)-isomer, 3h-labeled"
D016604,Aflatoxin B1,aflatoxin b
D016604,Aflatoxin B1,"aflatoxin b1, (6ar-cis)-isomer, 2h-labeled"
D016604,Aflatoxin B1,"aflatoxin b1, (6ar-cis)-isomer, 14c-labeled"
D016607,Aflatoxin M1,"aflatoxin m1, cis(+-)-isomer"
D016607,Aflatoxin M1,aflatoxin m
D016607,Aflatoxin M1,aflatoxin m1
D016608,Talin,platelet protein p235
D016608,Talin,talin
D016620,Enprostil,"enprostil, (1alpha(r*),2beta(1e,3s*),3alpha)-(+-)-isomer"
D016620,Enprostil,"enprostil, (1alpha,2alpha(1e,3s*),3beta)-(+-)-isomer"
D016620,Enprostil,"enprostil, (1r-(1alpha,2beta(1e,3r*),3alpha))-isomer"
D016620,Enprostil,rs-84135
D016620,Enprostil,"enprostil, (1alpha(r*),2beta(1e,3r*),3alpha)-(+-)-isomer"
D016620,Enprostil,"enprostil, (1r-(1(r*),2beta(1e,3r*),3alpha))-isomer"
D016620,Enprostil,"enprostil, (1s-(1alpha(r*),2beta(1e,3r*),3alpha))-isomer"
D016620,Enprostil,"enprostil, (1alpha,2beta(1e,3r*),3alpha)-(+-)-isomer"
D016620,Enprostil,gardrin
D016620,Enprostil,enprostil
D016620,Enprostil,"enprostil, (1r-(1alpha(s*),2beta(1e,3r*),3alpha))-isomer"
D016620,Enprostil,"enprostil, (1s-(1alpha(s*),2beta(1e,3r*),3alpha))-isomer"
D016623,Ion Pumps,ion pumps
D016627,Oxidopamine,oxidopamine hydrobromide
D016627,Oxidopamine,oxidopamine hydrochloride
D016627,Oxidopamine,oxidopamine
D016630,Rioprostil,orf-15927
D016630,Rioprostil,tr-4698
D016630,Rioprostil,rwj-15927
D016630,Rioprostil,rioprostil
D016632,Apolipoprotein A-I,apolipoprotein a-i isoprotein-4
D016632,Apolipoprotein A-I,apolipoprotein a-i isoprotein-2
D016632,Apolipoprotein A-I,apolipoprotein a-i
D016632,Apolipoprotein A-I,pro-apolipoprotein a-i
D016632,Apolipoprotein A-I,apolipoprotein a-i isoproteins
D016633,Apolipoprotein A-II,pro-apolipoprotein a-ii
D016633,Apolipoprotein A-II,apolipoprotein a-ii isoproteins
D016633,Apolipoprotein A-II,apolipoprotein a-ii
D016634,Radiosurgery,stereotactic body radiotherapy
D016634,Radiosurgery,"radiosurgery, linear accelerator"
D016634,Radiosurgery,stereotactic radiosurgery
D016634,Radiosurgery,cyberknife radiosurgery
D016634,Radiosurgery,gamma knife radiosurgery
D016634,Radiosurgery,stereotactic radiation therapy
D016634,Radiosurgery,stereotactic radiation
D016634,Radiosurgery,radiosurgery
D016642,Bupropion,bupropion
D016642,Bupropion,wellbutrin
D016642,Bupropion,"bupropion hydrochloride, (+-)-isomer"
D016642,Bupropion,zyban (anti-smoking)
D016642,Bupropion,quomen
D016642,Bupropion,"bupropion, (+-)-isomer"
D016642,Bupropion,bupropion hydrochloride
D016642,Bupropion,zyntabac
D016644,Canthaxanthin,canthaxanthin
D016644,Canthaxanthin,roxanthin red 10
D016644,Canthaxanthin,food orange 8
D016644,Canthaxanthin,carophyll red
D016644,Canthaxanthin,c.i. 40850
D016644,Canthaxanthin,orobronze
D016650,Fluorescein-5-isothiocyanate,fluorescein-5-isothiocyanate hydrochloride
D016650,Fluorescein-5-isothiocyanate,fluorescein-5-isothiocyanate
D016650,Fluorescein-5-isothiocyanate,fluorescein (5 or 6)-isothiocyanate
D016651,Lithium Carbonate,lithonate
D016651,Lithium Carbonate,lithium bicarbonate
D016651,Lithium Carbonate,nsc-16895
D016651,Lithium Carbonate,eskalith
D016651,Lithium Carbonate,lithane
D016651,Lithium Carbonate,lithotabs
D016651,Lithium Carbonate,"cp-15,467-61"
D016651,Lithium Carbonate,micalith
D016651,Lithium Carbonate,lithium carbonate
D016651,Lithium Carbonate,quilinorm-retard
D016651,Lithium Carbonate,lithobid
D016651,Lithium Carbonate,priadel
D016655,HIV Core Protein p24,hiv core protein p24
D016660,NAD(P)H Dehydrogenase (Quinone),nad(p)h dehydrogenase (quinone)
D016660,NAD(P)H Dehydrogenase (Quinone),vitamin k reductase
D016666,Fluvoxamine,fluvoxamine
D016666,Fluvoxamine,"fluvoxamine, (z)-isomer"
D016666,Fluvoxamine,desiflu
D016666,Fluvoxamine,nu-fluvoxamine
D016666,Fluvoxamine,fluvoxadura
D016666,Fluvoxamine,fluvoxamine maleate
D016666,Fluvoxamine,fluvoxamin-neuraxpharm
D016666,Fluvoxamine,fluvoxamin beta
D016666,Fluvoxamine,fluvoxamina geminis
D016666,Fluvoxamine,novo-fluvoxamine
D016666,Fluvoxamine,luvox
D016666,Fluvoxamine,fluvoxamin-ratiopharm
D016666,Fluvoxamine,du-23000
D016666,Fluvoxamine,pms-fluvoxamine
D016666,Fluvoxamine,fluvoxamin stada
D016666,Fluvoxamine,fluvoxamin al
D016670,Gabexate,gabexate methanesulfonate
D016670,Gabexate,gabexate monomethanesulfonate
D016670,Gabexate,foy
D016670,Gabexate,gabexate
