mesh_ui,canonical,synonym
D001834,Body Water,body water
D001842,Bone and Bones,condyle
D001842,Bone and Bones,bones
D001842,Bone and Bones,bone tissue
D001842,Bone and Bones,bone and bones
D001853,Bone Marrow,bone marrow
D001853,Bone Marrow,yellow marrow
D001853,Bone Marrow,marrow
D001853,Bone Marrow,red marrow
D001854,Bone Marrow Cells,bone marrow cells
D001857,Bone Matrix,bone matrix
D001916,Brachial Artery,brachial artery
D001917,Brachial Plexus,brachial plexus
D001921,Brain,brain
D001933,Brain Stem,brain stem
D001934,Branchial Region,branchial region
D001934,Branchial Region,branchial clefts
D001934,Branchial Region,branchial arch
D001940,Breast,breast
D001956,Broad Ligament,broad ligament
D001980,Bronchi,bronchi
D001980,Bronchi,secondary bronchi
D001980,Bronchi,tertiary bronchi
D001980,Bronchi,primary bronchi
D001981,Bronchial Arteries,bronchial arteries
D002001,"Adipose Tissue, Brown","adipose tissue, brown"
D002001,"Adipose Tissue, Brown",hibernating gland
D002011,Brunner Glands,brunner glands
D002030,Bulbourethral Glands,bulbourethral glands
D002036,Bundle of His,right bundle branch of his
D002036,Bundle of His,bundle of his
D002036,Bundle of His,left bundle branch of his
D002036,Bundle of His,anterior fascicle
D002036,Bundle of His,posterior fascicle
D002060,Bursa of Fabricius,bursa of fabricius
D002061,"Bursa, Synovial","bursa, synovial"
D002081,Buttocks,buttocks
D002081,Buttocks,gluteal region
D002111,Calcaneus,calcaneus
D002146,Bony Callus,bony callus
D002196,Capillaries,capillary beds
D002196,Capillaries,capillaries
D002196,Capillaries,sinusoidal beds
D002213,Capsid,procapsid
D002213,Capsid,capsid
D002299,Cardia,cardia
D002319,Cardiovascular System,cardiovascular system
D002339,Carotid Arteries,carotid arteries
D002342,"Carotid Artery, External","carotid artery, external"
D002343,"Carotid Artery, Internal","carotid artery, internal"
D002344,Carotid Body,carotid body
D002346,Carotid Sinus,carotid sinus
D002348,Carpal Bones,carpal bones
D002350,"Carpus, Animal","carpus, animal"
D002356,Cartilage,cartilage
D002358,"Cartilage, Articular","cartilage, articular"
D002420,Cauda Equina,filum terminale
D002420,Cauda Equina,cauda equina
D002421,Caudate Nucleus,caudate nucleus
D002426,Cavernous Sinus,cavernous sinus
D002432,Cecum,cecum
D002445,Celiac Artery,celiac artery
D002447,Celiac Plexus,celiac plexus
D002460,Cell Line,cell line
D002461,"Cell Line, Transformed","cell line, transformed"
D002462,Cell Membrane,cell membrane
D002466,Cell Nucleolus,cell nucleolus
D002467,Cell Nucleus,cell nucleus
D002473,Cell Wall,cell wall
D002474,Cell-Free System,cell-free system
D002477,Cells,cells
D002478,"Cells, Cultured","cells, cultured"
D002479,Inclusion Bodies,inclusion bodies
D002479,Inclusion Bodies,cytoplasmic inclusions
D002490,Central Nervous System,central nervous system
D002502,Centrioles,centrioles
D002503,Centromere,centromere
D002523,Edible Grain,edible grain
D002523,Edible Grain,cereal grain
D002525,Cerebellar Cortex,cerebellar cortex
D002529,Cerebellar Nuclei,cerebellar nuclei
D002529,Cerebellar Nuclei,nucleus dentatus
D002529,Cerebellar Nuclei,nucleus emboliformis
D002529,Cerebellar Nuclei,nucleus globosus
D002529,Cerebellar Nuclei,amiculum of the dentate nucleus
D002529,Cerebellar Nuclei,nucleus fastigii
D002530,Cerebellopontine Angle,cerebellopontine angle
D002531,Cerebellum,cerebellum
D002535,Cerebral Aqueduct,cerebral aqueduct
D002536,Cerebral Arteries,cerebral arteries
D002540,Cerebral Cortex,archipallium
D002540,Cerebral Cortex,periallocortex
D002540,Cerebral Cortex,paleocortex
D002540,Cerebral Cortex,cerebral cortex
D002540,Cerebral Cortex,allocortex
D002550,Cerebral Veins,pial vein
D002550,Cerebral Veins,sylvian vein
D002550,Cerebral Veins,basal vein
D002550,Cerebral Veins,thalamostriate vein
D002550,Cerebral Veins,cerebral veins
D002550,Cerebral Veins,vein of galen
D002552,Cerebral Ventricles,cerebral ventricles
D002552,Cerebral Ventricles,foramen of monro
D002555,Cerebrospinal Fluid,cerebrospinal fluid
D002571,Cerumen,cerumen
D002572,Cervical Plexus,cervical plexus
D002574,Cervical Vertebrae,cervical vertebrae
D002582,Cervix Mucus,fern test
D002582,Cervix Mucus,cervix mucus
D002582,Cervix Mucus,palm-leaf reaction
D002584,Cervix Uteri,ectocervix
D002584,Cervix Uteri,external os of the cervix
D002584,Cervix Uteri,endocervix
D002584,Cervix Uteri,cervix uteri
D002610,Cheek,cheek
D002628,Chemoreceptor Cells,chemoreceptor cells
D002642,Chick Embryo,chick embryo
D002680,Chin,chin
D002736,Chloroplasts,chloroplasts
D002736,Chloroplasts,etioplasts
D002799,Cholinergic Fibers,cholinergic fibers
D002814,Chorda Tympani Nerve,chorda tympani nerve
D002815,Chordae Tendineae,chordae tendineae
D002823,Chorion,chorion
